id;contact_id;name;interest;deletedAt;user_id;plan_stage_id;stage_order;not_company
407;137;"LA POLAR";1;NULL;253;NULL;NULL;0
408;NULL;TRICOT;1;NULL;253;NULL;NULL;0
409;NULL;HITES;1;NULL;253;NULL;NULL;0
410;139;"AD RETAIL (ABCDIN DIJON)";2;NULL;253;NULL;NULL;0
411;NULL;CORONA;1;NULL;253;NULL;NULL;0
412;NULL;"FASHION'S PARK";1;NULL;253;NULL;NULL;0
413;635;"SOCOFAR CRUZ VERDE";1;NULL;253;NULL;NULL;0
414;NULL;"FASA FARMACIAS AHUMADA";1;NULL;253;NULL;NULL;0
415;NULL;"SALCOBRAND PREUNIC";1;NULL;253;NULL;NULL;0
416;NULL;L'OREAL;1;NULL;253;NULL;NULL;0
417;NULL;"ESTEE LAUDER COMPANIES";1;NULL;253;NULL;NULL;0
418;NULL;"PUIG CHILE";1;NULL;253;NULL;NULL;0
419;NULL;"MOURE Y CIA";2;NULL;253;NULL;NULL;0
420;NULL;"DBS BEAUTY STORE";2;NULL;253;NULL;NULL;0
421;NULL;"RETAIL CUSTOM SOLUTIONS";1;NULL;253;NULL;NULL;0
422;NULL;PETRIZZIO;2;NULL;253;NULL;NULL;0
423;NULL;"HBC BRIONES";2;NULL;253;NULL;NULL;0
424;NULL;"CASA BARROS";2;NULL;253;NULL;NULL;0
425;NULL;"SAMSONITE CHILE";1;NULL;253;NULL;NULL;0
426;NULL;"BURT'S BEES (CLOROX)";2;NULL;253;NULL;NULL;0
427;NULL;SWAROVSKY;1;NULL;253;NULL;NULL;0
428;NULL;PANDORA;1;NULL;253;NULL;NULL;0
429;NULL;ISADORA;1;NULL;253;NULL;NULL;0
430;NULL;TODOMODA;1;NULL;253;NULL;NULL;0
431;NULL;LOUNGE;2;NULL;253;NULL;NULL;0
432;NULL;"GRUPO AXO MEXICO (VICTORIA SECRET & BATH AND BODY WORKS)";1;NULL;253;NULL;NULL;0
433;NULL;TRIUMPH;2;NULL;253;NULL;NULL;0
434;NULL;ECONOPTICAS;1;NULL;253;NULL;NULL;0
